;;;;;;;;;;
;;Projeto:;Bunge SFS ;;;;;;;
TC 15 A;"1-Formação de nuvem de poeiras por vazamentos nos equipamentos.
2-Formação de nuvem por processo de limpeza por ar comprimido. 
3-Ambiente sujo.
";"1-Limpeza por ar comprimido, tornando área classificada para Zona 22.
2-Superaquecimento dos roletes.
3-Falta de sensores de prevenção de falhas.
";"1-Falta de atualização do sistema de iluminação.
2-Procedimento de limpeza inadequado.
3-Escapes de pó por frestas.
";Incêndio e explosão;Alta;Médio;1-Sensor de embuchamento. ;"1-Proibir limpeza por ar comprimido (mudar procedimentos).
2-Revisar sistema EX.
3-Instalar sistema de detecção por cabo linear. de detecção por cabo linear.
4-Revisão sistemática do sistema de aterramento (conexões).
5-Instalar sensor de desalinhamento e temperatura de mancal, velocidade e embuchamento.";;
TC 015 B;"1-Formação de nuvem de poeiras por vazamentos nos equipamentos.
2-Formação de nuvem por processo de limpeza por ar comprimido.
3-Ambiente sujo.
";"1-Limpeza por ar comprimido, tornando área classificada para Zona 22.
2-Superaquecimento dos roletes.
3-Falta de sensores de prevenção de falhas.
";"1-Falta de atualização do sistema de iluminação.
2-Procedimento de limpeza inadequado.
3-Escapes de pó por frestas.
";Incêndio e explosão;Média;Alto;"1-Sensores de temperatura de mancal.
2-Sensores de velocidade.
3-Sensores de embuchamento.
";"1-Proibir limpeza por ar comprimido (mudar procedimentos).
2-Revisar sistema EX.
3-Instalar sistema de detecção por cabo linear. 
4-Revisão sistemática do sistema de aterramento (conexões).
5-Instalar sensor de desalinhamento e temperatura de mancal, velocidade e embuchamento.";;
Moega MO 015;"1-Formação súbita de nuvem de poeira com possível ignição por motor ou faísca eletrostática.
2-Uso de ar comprimido na limpeza.
3-Falha no sistema de aspiração.
4-Acúmulo de carga estática.
";"1-Formação de nuvem de poeira combustível na moega de recebimento.
2-Acúmulo de carga estática com possibilidade de geração de faíscas.
3-Faíscas pelo escapamento dos caminhões.";"1-Procedimento não adequado de limpeza.
2-Prática operacional insegura.
3-Falta de sistema de aterramento adequado.
4-Atrito entre grãos e superfície metálicas.
5-Umidade do ar baixa.
6-Problemas de sincronização incorreta do motor da pá carregadeira/acúmulo de depósitos de carbono no escapamento ou camara de combustão do motor.";Incêndio e explosão;Média para Alta;Médio;"1-Sistema de aspiração na moega.
2-Uso de flaps nas moegas, para evitar o retorno da poeira.
3-Verificar Instalações EX para área classificada.";"1-Proibição de uso de ar comprimido para limpeza ou estabelecer regras seguras de uso.
2-Sistema de aterramento do caminhão com intertravamento com o tombador (o tombador só será acionado quando o caminhão estiver devidamente aterrado.";;
CT 015;"1-Formação de nuvem de poeiras por vazamentos nos equipamentos.
2-Formação de nuvem por processo de limpeza por ar comprimido. 
3-A correia esta fletindo no meio.";"1-Verificar Iluminação Ex.
2-Limpeza por ar comprimido, tornando área classificada para Zona 22.
3-Superaquecimento dos roletes.
4-como a correia fletiu no meio está com retorno de produto (acúmulo), necessitando de limpeza mais frequente.
";"1-Falta de atualização do sistema de iluminação.
2-Procedimento de limpeza inadequado.
3-Escapes de pó por frestas.
";Incêndio e explosão;Alta;Alto;"1-Sensor de velocidade.
2-Sensor de embuchamento.
3-Sensor temperatura.
4-Sensor de detalhamento.
 ";"1-Proibir limpeza por ar comprimido (mudar procedimentos).
2-Revisar sistema EX.
3-Instalar sistema de detecção por cabo linear. 
4-Revisão sistemática de sistema de aterramento.
";;
CT 255-1 (TRIPPER);1-Defragração para o interior do armazém AG 255.;"1-Falha no sistema de alinhamento.
2-Superaquecimento dos roletes.";"1-Falha no sensor de detalhamento.
2-Travamento dos roletes.";Incêndio e explosão;Alta;Alto;1-Sensor de velocidade.;"1-Cabo de detecção linear.
2-Sensores de vibração (recomendado).
3-Sensor de temperatura (sem fio) recomendado.
4-Sensor de rasco de lona (banda).
5-Revisão sistemática do aterramento (conexões).";;
CT 255-2 (TRIPPER);1-Defragração para o interior do armazém AG 255.;"1-Falha no sistema de alinhamento.
2-Superaquecimento dos roletes.";"1-Falha no sensor de detalhamento.
2-Travamento dos roletes.";Incêndio e explosão;Alta;Alto;1-Sensor de velocidade.;"1-Cabo de detecção linear.
2-Sensores de vibração (recomendado).
3-Sensor de temperatura (sem fio) recomendado.
4-Sensor de rasco de lona (banda).
5-Revisão sistemática do aterramento (conexões).";;
Armazém AG 255;1-Defragações internas.;"1-Falhas por superaquecimento nas esteiras transportadoras.
2-Faíscas geradas por contado das laminas das pás carregadeiras com o piso.
3-Limpeza com ar comprimido.
";"1-Falta de sistemas eficientes de detecção de aumentos de temperaturas de mancais ou roletes.
2-Falta de sistemas de detecção por cabo linear nas esteiras suspensas.


";Incêndio e explosão;Média para Alta;Médio;1-Sistema de iluminação e estrutura elétrica EX.;"1-Instalar cabos de detecção linear nas esteiras suspensas.
2-Instalção de sistemas de detecção de temperatura de mancais.

";;
Armazém AG 65 ;1-Defragações internas.;"1-Falhas por superaquecimento nas esteiras transportadoras.
2-Faíscas geradas por contado das laminas das pás carregadeiras com o piso.
3-Limpeza com ar comprimido.
4-Escapes de faíscas do motor pelo escapamentos das pás carregadeiras.";"1-Falta de sistemas eficientes de detecção de aumentos de temperaturas de mancais ou roletes.
2-Material faiscante das pás carregadeiras.
3-Problemas de sincronização incorreta do motor da pá carregadeira/acúmulo de depósitos de carbono no escapamento ou camara de combustão do motor.

";Incêndio e explosão;Média para Alta;Médio;1-Sistema de iluminação e estrutura elétrica EX.;"1-Instalar cabos de detecção linear nas esteiras suspensas.
2-instalação de sistemas de detecção de temperatura de mancais.
3-Substituir o material das lâminas das pás carregadeiras, para matérias ante faiscante como Cobre-Berílio (Be-Cu) ou Bronze-Alumínio (Al-Br).
";;
EL 065;1-Explosão por faíscas mecânicas, elétricas estáticas/manutenções incorretas.;"1-Desalinhamento de banda.
2-Faíscas estáticas.
3-Faíscas mecânicas.
4-Falhas de manutenção.
5-Falta de sistema de proteção contra explosão certificados, (instalação de painéis caseiros).";"1-Manutenção inadequada.
2-Não medir a continuidade para garantir o aterramento.
3-Desalinhamento/embuchamento.
4-Atualização dos procedimentos de manutenção.
";Incêndio e explosão;Média para Alta;Médio;"1-Sensores de temperatura de mancal.
2-Sensores de velocidade.
3-Sensores de subvelocidade.
4-Sensores de desalinhamento.";"1-Instalar sistema de de alívio por abafamento (certificados).
2-Instalar sistema  de isolamento de explosão no carregamento e descarregamento do elevador para evitar a propagação de explosão.";;
CT 065;1-Defragração para o interior do armazém AG 65.;"1-Falha no sistema de alinhamento.
2-Superaquecimento dos roletes.";"1-Falha no sensor de detalhamento.
2-Travamento dos roletes.";Incêndio e explosão;Alta;Alto;"1-Sensores de temperatura de mancal.
2-Sensores de velocidade.
3-Sensores de subvelocidade.
4-Sensores de desalinhamento.";"1-Instalar cabos de detecção linear nas esteiras suspensas.

";;
BF 02 (Balança Porto novo);"1-Risco de explosão por trabalhar com grande acúmulo de pó dentro dos seus reservatórios.
2-Torna a área classificada a sua volta.";1-Escapes de pó pelas frestas. ;1-Falha de manutenção.;Incêndio e explosão;Média para Alta;Médio;1-Equipamento novo, seguindo a classificação de áreas e NR 12.;1-Procedimento de manutenção preventiva para evitar escapes de pó.;;
BC 07 ;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
BC 08 ;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
BC 09;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
CN 01;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
CN 02;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
CN 03;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
Filtro Pontual FPC TR 701A;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
Filtro Pontual FPC TR 701B;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
Torre pescante 01;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
Torre pescante 02;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
Torre pescante 03;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
BC08;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
Bc 09 ;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
BC06;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
Bc 05;1-Falha de equipamento/equipamento novo.;Equipamento novo ;Nenhum ;Incêndio e explosão;Baixa;Baixo;"1-Equipamentos EX.
2-Todos os sensores instalados.";"1-Procedimentos de manutenção preventivos.
2-Instalar cabo de detecção linear.";;
;;;;;;;;;;
;;;;;;;;;;
